9,1:02,Basement Jaxx,Where's Your Head At?
9,1:18,Rick Ross,B.M.F. (Blowin' Money Fast)
9,2:22,B.o.B.,Bet I Bust
9,2:24,Waka Flocka Flame,Hard in da Paint
9,2:27,Mr. Oizo,Flat Beat
9,3:39,Ginuwine,Pony
9,3:39,Arcade Fire,Wake Up
9,3:39,Birdman featuring Drake and Lil Wayne,Money to Blow
9,4:41,Radiohead,Idioteque
9,4:42,The Isley Brothers,Shout
10,0:00,Usher featuring Nicki Minaj,Little Freak
10,0:07,Blue Oyster Cult,Don't Fear the Reaper
10,0:56,The Cars,Moving In Stereo
10,1:03,Bruce Springsteen,Dancing in the Dark
10,1:03,N.E.R.D.,Everyone Nose (All the Girls Standing in the Line for the Bathroom)
10,2:09,Supergrass,Alright
10,2:20,Bone Thugs-n-Harmony,1st of tha Month
10,3:24,Drake,Over
10,3:24,Collective Soul,Shine
10,3:25,Harvey Danger,Flagpole Sitta
10,3:33,A Flock of Seagulls,I Ran
10,4:31,OutKast,B.O.B.
10,4:31,Nirvana,Aneurysm
10,4:31,Three 6 Mafia,Who Run It
11,0:00,Beyoncé,Diva
11,0:00,Phoenix,1901
11,0:07,Ludacris,How Low
11,1:28,Keri Hilson,Turnin' Me On
11,1:31,Joe Jackson,Steppin' Out
11,1:31,Lil' Wayne,A Milli
11,2:56,Neil Diamond,"Cherry, Cherry"
11,3:36,Devo,Gates of Steel
11,3:48,Ice Cube,Today Was a Good Day
11,5:04,Willow Smith,Whip My Hair
11,5:07,The Rolling Stones,Paint It Black
11,5:08,Wiz Khalifa,Black and Yellow
11,5:17,The Young Rascals,Good Lovin'
11,6:23,Van Halen,Runnin' with the Devil
12,0:00,Fine Young Cannibals,Good Thing
12,0:00,Gucci Mane,Gucci Time
12,1:19,Jay-Z,Dirt Off Your Shoulder
12,1:20,MIMS,Move (If You Wanna)
12,1:21,Modern English,I Melt with You
12,2:46,Rich Boy,Drop
12,2:59,John Lennon,Imagine
12,3:11,UGK,One Day
